"Index","forecast","lower","upper"
"Aug 2023",4.23698591025182,4.15934988289665,4.3301927406322
"Sep 2023",4.38350387456261,4.24617711558452,4.55110668669759
"Oct 2023",4.52331630698217,4.31384141535758,4.75916842404725
"Nov 2023",4.59046171919486,4.32778954121917,4.88287006682418
"Dec 2023",4.65008855622201,4.32803677058193,4.99774118694049
"Jan 2024",4.67371357310743,4.29099251017164,5.08881683702745
"Feb 2024",4.72817317423527,4.30523099511638,5.20974688487696
"Mar 2024",4.78104305686703,4.31463954734555,5.32525107658407
"Apr 2024",4.8088073291638,4.28336703194062,5.40507911226038
"May 2024",4.82349848676746,4.24444560568484,5.46385226498515
"Jun 2024",4.84628257670859,4.22621381606971,5.53907389327715
"Jul 2024",4.84677319284128,4.18256797045193,5.58751013594247
